		Initial Skills				Probability of gaining a skill (out of 100)								Probability of gaining a secondary skill (out of 112)																												"Selection Probability
 (out of 100)"								
Name	Aggression	Attack	Defense	Spell Power	Knowledge	Attack (2 - 9)	Defense (2-9)	Power (2-9)	Knowledge (2-9)	Attack (10+)	Defense (10+)	Power (10+)	Knowledge (10+)	Pathfinding	Archery	Logistics	Scouting	Diplomacy	Navigation	Leadership	Wisdom	Mysticism	Luck	Siege Ballistics	Eagle Eye	Necromancy	Estates	School of Fire Magic	School of Air Magic	School of Water Magic	School of Earth Magic	Magic Scholar	Battle Tactics	Battlefield Ballistics	Learning	Offense	Defense	Intelligence	Sorcery	Magic Resistance	First Aid	Castle	Rampart	 Tower	Inferno	Necro	Dungeon	Stronghold	Fortress	Conflux
Rycerz	1,00	2	2	1	1	35	45	10	10	30	30	20	20	4	5	5	4	4	8	10	3	2	3	8	2	0	6	1	3	4	2	1	7	5	4	7	5	1	1	5	2	6	6	6	5	5	5	6	6	6
Kleryk	0,80	1	0	2	2	20	15	30	35	20	20	30	30	2	3	4	3	7	5	2	7	4	5	4	6	0	3	2	4	4	3	6	2	2	4	4	3	6	5	2	10	6	6	6	5	5	5	6	6	5
Stra¿nik	1,00	1	3	1	1	35	45	10	10	30	30	20	20	7	8	5	7	4	3	6	3	3	6	4	2	0	2	0	1	3	3	1	5	6	4	5	8	2	2	9	3	6	6	6	5	5	5	6	5	5
Druid	0,80	0	2	1	2	10	20	35	35	20	20	30	30	5	5	5	2	4	2	2	8	6	9	4	7	0	3	1	2	4	4	8	1	1	4	1	3	7	6	1	7	6	6	6	5	5	5	5	6	6
Alchemik	1,00	1	1	2	2	30	30	20	20	30	30	20	20	4	5	6	4	3	3	3	6	4	2	6	3	0	4	1	4	2	3	3	4	4	10	6	8	4	3	5	2	6	6	6	5	5	5	6	5	5
Mag	1,00	0	0	2	3	10	10	40	40	30	20	20	30	2	2	2	2	4	1	4	10	8	4	4	8	0	5	2	6	3	3	9	1	1	4	1	1	10	8	0	7	6	6	6	5	5	5	5	6	6
Demon	1,20	2	2	1	1	35	35	15	15	30	30	20	20	4	6	10	5	4	4	3	4	2	2	7	3	0	3	4	2	1	3	2	6	5	4	8	7	2	3	6	2	5	5	5	6	6	6	6	5	5
Heretyk	1,10	1	1	2	1	15	15	35	35	20	20	30	30	4	4	3	3	3	2	2	8	10	2	6	4	0	2	5	3	2	4	5	4	4	4	4	4	6	6	3	5	5	5	5	6	6	6	5	6	5
Rycerz Œmierci	1,20	1	2	2	1	30	25	20	25	25	25	25	25	4	5	5	4	2	8	0	6	4	1	7	4	10	0	1	2	3	4	2	5	5	4	7	5	5	4	5	0	5	5	5	6	6	6	6	5	5
Nekromanta	1,00	1	0	2	2	15	15	35	35	25	25	25	25	6	2	4	2	4	5	0	8	6	1	5	7	10	3	2	3	3	8	6	2	3	4	3	2	6	6	1	0	5	5	5	6	6	6	5	6	6
Suweren	1,00	2	2	1	1	35	35	15	15	30	30	20	20	5	6	8	5	3	4	8	3	3	1	7	2	0	4	2	1	0	3	1	10	8	4	8	6	1	2	6	1	5	5	5	6	6	6	6	5	5
Czarnoksiê¿nik	1,00	0	0	3	2	10	10	50	30	20	20	30	30	2	2	2	2	4	4	3	10	8	2	6	8	0	5	5	2	2	5	8	1	1	4	1	1	8	10	0	6	5	5	5	6	6	6	5	6	6
Barbarzyñca	1,10	4	0	1	1	55	35	5	5	30	30	20	20	8	7	7	8	1	2	5	2	3	3	8	2	0	2	2	3	0	3	1	8	8	4	10	6	1	1	6	1	6	6	6	6	6	6	6	5	6
Mag Bitewny	1,10	2	1	1	1	30	20	25	25	25	25	25	25	4	4	9	4	3	0	4	6	4	2	6	5	0	1	3	3	3	3	4	5	4	4	8	4	5	6	4	4	6	6	6	6	6	6	6	6	5
W³adca Bestii	0,90	0	4	1	1	30	50	10	10	30	30	20	20	8	7	8	7	1	8	5	2	2	2	7	1	0	1	0	1	2	3	1	6	8	4	5	10	1	1	5	6	6	6	6	6	6	6	6	6	6
WiedŸma	1,00	0	1	2	2	5	15	40	40	20	20	30	30	2	3	3	2	2	6	1	8	8	4	8	10	0	1	3	3	3	3	7	1	1	4	2	4	7	8	0	8	6	6	6	6	6	6	5	6	6
Wêdrowiec	0,90	3	1	1	1	45	25	15	15	30	30	20	20	6	8	8	6	2	5	3	2	3	2	8	2	0	3	3	2	2	3	1	8	8	8	9	5	1	1	2	1	5	5	5	5	5	5	5	5	6
Przywo³ywacz	1,00	0	0	3	3	15	15	35	35	25	25	25	25	2	2	2	2	4	4	3	8	8	2	4	8	0	3	6	6	6	6	8	1	1	4	1	1	8	8	0	4	5	5	5	5	5	5	5	5	6

																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
					
					
					
					
					
