	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Orrin	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Valeska	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Edric	10	20	Pikeman	2	3	Griffin	2	3	Griffin
Sylvia	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Lord Haart	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Sorsha	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Christian	10	20	Pikeman	1	1	Ballista	2	3	Griffin
Tyris	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Rion	10	20	Pikeman	1	1	FirstAidTent	2	3	Griffin
Adela	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Cuthbert	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Adelaide	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Ingham	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Sanya	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Loynis	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Caitlin	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Mephala	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Ufretin	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
Jenova	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Ryland	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Thorgrim	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Ivor	12	24	Centaur	3	6	WoodElf	3	6	WoodElf
Clancy	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Kyrre	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Coronius	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Uland	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Elleshar	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Gem	12	24	Centaur	1	1	FirstAidTent	3	6	WoodElf
Malcom	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Melodia	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Alagar	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Aeris	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Piquedram	3	5	StoneGargoyle	3	5	StoneGargoyle	3	5	StoneGargoyle
Thane	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Josephine	30	40	ApprenticeGremlin	2	2	IronGolem	2	3	IronGolem
Neela	30	40	ApprenticeGremlin	4	4	StoneGargoyle	2	3	IronGolem
Torosar 	30	40	ApprenticeGremlin	1	1	Ballista	2	3	IronGolem
Fafner	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Rissa	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Iona	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Astral	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Halon	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Serena	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Daremyth	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Theodorus	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Solmyr	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Cyra	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Aine	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Fiona	15	25	Imp	3	4	HellHound	3	4	HellHound
