Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Pikeman	Pikemen	0	0	0	0	0	0	40	100	80	16	0	10	4	4	6	2	4	0	0	20	50		0
Halberdier	Halberdiers	0	0	0	0	0	0	50	115	115	16	0	10	5	6	7	3	5	0	0	20	30		0
Archer	Archers	0	0	0	0	0	0	70	115	126	12	0	10	4	8	3	2	3	30	0	16	30		SHOOTING_ARMY
Marksman	Marksmen	0	0	0	0	0	0	150	115	184	12	0	10	6	8	3	2	3	50	0	16	25	Shoots twice.	const_two_attacks | SHOOTING_ARMY
Griffin	Griffins	0	0	0	0	0	0	200	324	351	7	3	40	6	10	10	3	6	0	0	12	25	Retaliates twice.	DOUBLE_WIDE | FLYING_ARMY
Royal Griffin	Royal Griffins	0	0	0	0	0	0	240	364	448	7	3	40	12	12	9	3	6	0	0	12	20	Unlimited retaliations.	DOUBLE_WIDE|FLYING_ARMY
Swordsman	Swordsmen	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Crusader	Crusaders	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Strikes twice.	const_two_attacks
Monk	Monks	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY
Zealot	Zealots	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	No melee penalty.	SHOOTING_ARMY | const_no_melee_penalty
Cavalier	Cavaliers	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Jousting bonus.	DOUBLE_WIDE | const_jousting
Champion	Champions	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Jousting bonus.	DOUBLE_WIDE | const_jousting
Angel	Angels	0	0	0	0	0	1	6000	3585	5019	1	0	350	12	25	25	70	70	0	0	4	10	Hates Devils.	FLYING_ARMY | const_raises_morale | KING_2
Archangel	Archangels	0	1	0	1	1	1	10000	6033	8776	1	0	500	18	35	35	100	100	0	1	3	8	"+1 morale.  Hates Devils.
Resurrects allies."	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
Centaur	Centaurs	0	0	0	0	0	0	70	100	100	14	0	8	8	5	3	2	3	0	0	20	50		DOUBLE_WIDE
Centaur Captain	Centaur Captains	0	0	0	0	0	0	90	115	138	14	0	10	10	6	3	2	3	0	0	20	30		DOUBLE_WIDE
Dwarf	Dwarves	0	0	0	0	0	0	120	194	138	8	4	25	3	6	10	2	4	0	0	16	30	20% magic resistance.	0
Battle Dwarf	Battle Dwarves	0	0	0	0	0	0	150	209	209	8	4	30	5	7	11	2	5	0	0	16	25	40% magic resistance.	0
Wood Elf	Wood Elves	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	5	7	40	0	12	25		SHOOTING_ARMY
Grand Elf	Grand Elves	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	5	7	40	0	12	20	Shoots twice.	SHOOTING_ARMY | const_two_attacks
Pegasus	Pegasi	0	0	0	0	0	0	250	407	518	5	0	30	8	11	8	6	11	0	0	10	20	Magic damper.	DOUBLE_WIDE | FLYING_ARMY
Silver Pegasus	Silver Pegasi	0	0	0	0	0	0	275	418	532	5	0	33	12	11	12	7	12	0	0	10	16	Magic damper.	DOUBLE_WIDE | FLYING_ARMY
Dendroid Guard	Dendroid Guards	0	0	0	0	0	0	350	690	517	4	2	65	3	9	12	10	14	0	0	8	16	Binds enemies in place.	0
Dendroid Soldier	Dendroid Soldiers	0	0	0	0	0	0	425	765	803	4	2	75	4	9	15	10	14	0	0	8	12	Binds enemies in place.	0
Unicorn	Unicorns	0	0	0	0	0	0	850	1548	1806	4	0	90	7	15	14	18	22	0	0	5	12	Aura of magic resistance.  Blinding attack.	DOUBLE_WIDE
War Unicorn	War Unicorns	0	0	0	0	0	0	950	1740	2030	4	0	110	9	15	14	18	22	0	0	5	10	Aura of magic resistance. Blinding attack.	DOUBLE_WIDE
Green Dragon	Green Dragons	0	0	0	0	1	0	3800	3654	4872	2	0	400	10	18	18	40	50	0	0	4	10	Immune to spell levels 1-3.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Gold Dragon	Gold Dragons	0	0	0	0	4	0	6000	6220	8613	2	0	650	16	27	27	55	65	0	0	3	8	Immune to spell levels 1-4.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Gremlin	Gremlins	0	0	0	0	0	0	20	55	44	24	0	4	4	3	3	1	2	0	0	20	50		0
Master Gremlin	Master Gremlins	0	0	0	0	0	0	30	55	66	24	0	4	5	4	4	1	2	8	0	20	30	Ranged attacker.	SHOOTING_ARMY
Stone Gargoyle	Stone Gargoyles	0	0	0	0	0	0	110	150	165	9	4	16	6	6	10	2	3	0	0	16	30		FLYING_ARMY
Obsidian Gargoyle	Obsidian Gargoyles	0	0	0	0	0	0	140	155	201	9	4	20	9	7	11	2	3	0	0	16	25		FLYING_ARMY
Stone Golem	Stone Golems	0	0	0	0	0	0	150	339	250	8	0	40	3	7	15	4	5	0	0	12	25	Damage from spells reduced 50%.	0
Iron Golem	Iron Golems	0	0	0	0	0	0	200	412	412	8	0	50	5	9	15	4	6	0	0	12	20	Damage from spells reduced 75%.	0
Mage	Magi	0	0	0	0	0	0	350	418	570	3	0	25	5	16	11	7	9	24	0	10	20	"No melee penalty.
Hero spells cost less."	SHOOTING_ARMY | const_no_melee_penalty
Arch Mage	Arch Magi	0	0	0	0	0	0	500	467	680	3	0	30	7	20	16	10	12	24	0	10	16	"No melee penalty.
Hero spells cost less."	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
Genie	Genies	0	0	0	0	0	0	550	680	884	3	0	50	7	12	12	20	24	0	0	8	16	Hates Efreet.	FLYING_ARMY
Master Genie	Master Genies	0	0	0	0	0	0	600	748	942	3	0	55	11	14	14	23	27	0	3	8	12	"Spellcaster: Random benefit.
Hates Efreet."	FLYING_ARMY
Naga	Nagas	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	30	30	0	0	5	12	No enemy retaliation.	DOUBLE_WIDE
Naga Queen	Naga Queens	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	18	13	40	40	0	0	5	10	No enemy retaliation.	DOUBLE_WIDE
Giant	Giants	0	0	0	0	0	2	4000	3146	3718	1	0	500	9	19	16	55	75	0	0	4	10	Mind spell immunity	KING_3
Titan	Titans	0	0	0	0	0	6	8000	5000	7500	1	0	800	11	40	40	80	120	24	0	3	8	No melee penalty. Mind spell immunity.  Hates Black Dragons.	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								
																								
																								
Imp	Imps	0	0	0	0	0	0	20	50	50	22	8	5	5	2	3	2	3	0	0	20	50	Immune to fire.	FLYING_ARMY
Familiar	Familiars	0	0	0	0	0	0	25	60	60	22	8	6	7	4	4	3	4	0	0	20	30	Magic channel. Immune to fire.	FLYING_ARMY
Gog	Gogs	0	0	0	0	0	0	125	145	159	8	0	13	4	7	4	5	8	20	0	16	30		SHOOTING_ARMY
Magog	Magogs	0	0	0	0	0	0	175	210	240	8	0	16	6	9	4	6	8	40	0	16	25	Fireball attack.	SHOOTING_ARMY
Hell Hound	Hell Hounds	0	0	0	0	0	0	200	275	357	5	3	35	7	14	6	5	10	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
Cerberus	Cerberi	0	0	0	0	0	0	250	308	392	5	3	40	8	16	8	8	12	0	0	12	20	"3-headed attack.
Enemies cannot retaliate."	DOUBLE_WIDE | FLYING_ARMY
Demon	Demons	0	0	0	0	0	0	250	445	445	7	0	35	5	14	14	10	13	0	0	10	20		0
Horned Demon	Horned Demons	0	0	0	0	0	0	270	480	480	7	0	40	6	17	17	10	13	0	0	10	16		0
Pit Fiend	Pit Fiends	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
Pit Lord	Pit Lords	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	"Summon demons from
a dead ally."	0
Efreeti	Efreet	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	Immune to fire.  Hates Genies.	0
Efreet Sultan	Efreet Sultans	0	0	0	0	0	0	1100	1584	1848	2	0	105	13	20	14	20	28	0	0	5	10	Fire shield.  Immune to fire.  Hates Genies.	0
Devil	Devils	0	3	0	0	0	0	3333	3759	5101	1	0	666	11	23	23	30	70	0	0	4	10	-1 enemy luck. No enemy retaliation. Hates Angels.	FLYING_ARMY | KING_2
Arch Devil	Arch Devils	0	6	0	0	0	0	6660	5243	7115	1	0	999	17	33	33	60	120	0	0	3	8	-1 enemy luck. No enemy retaliation. Hates Angels.	FLYING_ARMY | KING_2
																								
																								
																								
Skeleton	Skeletons	0	0	0	0	0	0	20	75	60	12	6	20	4	5	4	1	3	0	0	20	50	Undead.	IS_UNDEAD
Skeleton Warrior	Skeleton Warriors	0	0	0	0	0	0	30	85	85	12	6	20	5	7	6	1	3	0	0	20	30	Undead.	IS_UNDEAD
Walking Dead	Walking Dead	0	0	0	0	0	0	50	140	98	8	0	30	3	5	5	2	3	0	0	16	30	Undead.	IS_UNDEAD
Zombie	Zombies	0	0	0	0	0	0	65	160	128	8	0	40	4	5	5	2	3	0	0	16	25	"Undead.
Disease."	IS_UNDEAD
Wight	Wights	0	0	0	0	0	0	100	231	252	7	0	18	5	7	14	5	8	0	0	12	25	Undead.  Regenerating.	FLYING_ARMY | IS_UNDEAD
Wraith	Wraiths	0	0	0	0	0	0	130	252	315	7	0	23	7	7	17	6	9	0	0	12	20	"Undead.  Regenerating.
Drains enemy mana."	FLYING_ARMY | IS_UNDEAD
Vampire	Vampires	0	0	0	0	0	0	360	518	555	4	0	40	6	12	9	5	8	0	0	10	20	"Undead.
No enemy retaliation."	FLYING_ARMY | IS_UNDEAD
Vampire Lord	Vampire Lords	0	0	0	0	0	0	500	652	783	4	0	60	9	16	10	8	15	0	0	10	16	"Undead.  Drains life.
No enemy retaliation."	FLYING_ARMY | IS_UNDEAD
Lich	Liches	0	0	0	0	0	0	550	742	848	3	0	50	6	17	10	16	18	16	0	8	16	Undead.  Death cloud attack.	SHOOTING_ARMY | IS_UNDEAD
Power Lich	Power Liches	0	0	0	0	0	0	600	889	1079	3	0	65	7	21	10	21	24	24	0	8	12	Undead.  Death cloud attack.	SHOOTING_ARMY | IS_UNDEAD
Black Knight	Black Knights	0	0	0	0	0	0	1500	1753	2087	2	0	180	9	18	18	15	30	0	0	5	12	Undead.  Curses enemies.	DOUBLE_WIDE | IS_UNDEAD
Dread Knight	Dread Knights	0	0	0	0	0	0	2000	2029	2382	2	0	220	11	22	22	15	30	0	0	5	10	"Undead.  Curses enemies.  
Death Blow attack."	DOUBLE_WIDE | IS_UNDEAD
Bone Dragon	Bone Dragons	0	0	0	0	0	0	3000	2420	3388	1	0	300	9	22	25	50	80	0	0	4	10	Undead.  -1 to enemy morale.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Ghost Dragon	Ghost Dragons	0	4	0	0	0	0	7000	3228	4696	1	0	450	14	32	40	75	100	0	0	3	8	Undead.  -1 to enemy morale.  Attack ages enemies.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
Troglodyte	Troglodytes	0	0	0	0	0	0	20	73	59	30	7	5	4	4	3	1	3	0	0	20	50	Immune to Blinding.	0
Infernal Troglodyte	Infernal Troglodytes	0	0	0	0	0	0	30	84	84	30	7	6	5	5	4	1	3	0	0	20	30	Immune to Blinding.	0
Harpy	Harpies	0	0	0	0	0	0	100	140	154	8	0	14	7	6	5	1	4	0	0	16	30	Strike and return.	FLYING_ARMY
Harpy Hag	Harpy Hags	0	0	0	0	0	0	150	196	238	8	0	14	11	6	6	1	4	0	0	16	25	"Strike and return.
No enemy retaliation."	FLYING_ARMY
Beholder	Beholders	0	0	0	0	0	0	160	240	336	10	0	22	5	9	7	3	5	80	0	12	25	No melee penalty.	SHOOTING_ARMY | const_no_melee_penalty
Evil Eye	Evil Eyes	0	0	0	0	0	0	220	245	367	10	0	22	7	10	8	4	6	80	0	12	20	No melee penalty.	SHOOTING_ARMY | const_no_melee_penalty
