			School				Cost				Effect					% Chance to gain									AI value				Right click text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	"Attributes (reference only, do not change)"
																																	
Adventure Spells																																	
																																	
Przyzwanie okrêtu	Przyzwanie okrêtu	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Przyzwanie okrêtu}

Przyzywa do okolicy istniej¹cy okrêt, nale¿¹cy do aktualnego gracza.

Szansa powodzenia - 50%.
"	"{Przyzwanie okrêtu - poziom podstawowy}

Przyzywa do okolicy istniej¹cy okrêt, nale¿¹cy do aktualnego gracza.

Szansa powodzenia - 50%.
"	"{Przyzwanie okrêtu - poziom zaawansowany}

Przyzywa do okolicy istniej¹cy okrêt, nale¿¹cy do aktualnego gracza. Je¿eli okrêt nie istnieje - zostaje stworzony.

Szansa powodzenia - 75%.
"	"{Przyzwanie okrêtu - poziom mistrzowski}

Przyzywa do okolicy istniej¹cy okrêt, nale¿¹cy do aktualnego gracza.  Je¿eli okrêt nie istnieje - zostaje stworzony.
"	 ADV_SPELL
Zniszczenie okrêtu	Zniszczenie okrêtu	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Zniszczenie okrêtu}

Niszczy okrêt nale¿¹cy do aktualnego gracza. U¿ywaæ z umiarem! Skutki zaklêcia s¹ nieodwo³alne. 

Szansa powodzenia - 50%.
"	"{Zniszczenie okrêtu - poziom podstawowy}

Niszczy okrêt nale¿¹cy do aktualnego gracza. U¿ywaæ z umiarem! Skutki zaklêcia s¹ nieodwo³alne.

Szansa powodzenia - 50%.
"	"{Zniszczenie okrêtu - poziom zaawansowany}

Niszczy okrêt nale¿¹cy do aktualnego gracza.  U¿ywaæ z umiarem! Skutki zaklêcia s¹ nieodwo³alne.

Szansa powodzenia - 75%.
"	"{Zniszczenie okrêtu - poziom mistrzowski}

Niszczy okrêt nale¿¹cy do aktualnego gracza.  U¿ywaæ z umiarem! Skutki zaklêcia s¹ nieodwo³alne."	 ADV_SPELL
Wizja	Wizja	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Wizja}

Podaje ogólne informacje o armii przeciwnika, bohaterze lub garnizonie miasta."	"{Wizja - poziom podstawowy}

Podaje ogólne informacje o armii przeciwnika, bohaterze lub garnizonie miasta. Je¿eli w pobli¿u znajduje siê wroga grupa stworzeñ, zaklêcie podaje dok³adne informacje o jej sk³adzie oraz liczebnoœci, a tak¿e informuje, czy dana grupa zechce siê do ciebie przy³¹czyæ."	"{Wizja - poziom zaawansowany}

Podaje dok³adne informacje o garnizonie miasta. Je¿eli w pobli¿u znajduje siê wroga grupa stworzeñ, zaklêcie podaje dok³adne informacje o jej sk³adzie oraz liczebnoœci, a tak¿e informuje, czy dana grupa zechce siê do ciebie przy³¹czyæ. Dodatkowo zaklêcie podaje dok³adne informacje o wrogim bohaterze i jego armii."	"{Wizja - poziom mistrzowski}

Podaje bardzo dok³adne informacje o garnizonach miast, stworzeniach znajduj¹cych siê w okolicy, oraz o wrogich bohaterach i ich armiach.
"	 ADV_SPELL
Zasoby ziemi	Zasoby ziemi	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Zasoby ziemi}

Ujawnia umiejscowienie wszystkich zasobów znajduj¹cych siê na mapie.
"	"{Zasoby ziemi - poziom podstawowy}

Ujawnia umiejscowienie wszystkich zasobów znajduj¹cych siê na mapie.
"	"{Zasoby ziemi - poziom zaawansowany}

Ujawnia umiejscowienie wszystkich zasobów oraz kopalñ znajduj¹cych siê na mapie.
"	"{Zasoby ziemi - poziom mistrzowski}

Odkrywa ca³¹ mapê oraz ujawnia umiejscowienie wszystkich zasobów i kopalñ.
"	 ADV_SPELL
Ukrycie	Ukrycie	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Ukrycie}

Podaje fa³szywe informacje wrogiemu bohaterowi, próbuj¹cemu rozpoznaæ si³ê twojej armii.
"	"{Ukrycie - poziom podstawowy}

Sprawia, ¿e wszyscy wrogowie widz¹, i¿ twoja armia sk³ada siê wy³¹cznie z najlepszych oddzia³ów, jakie aktualnie w niej posiadasz. Iloœæ jednostek w oddzia³ach pozostaje niezmieniona.
"	"{Ukrycie - poziom zaawansowany}

Sprawia, ¿e wszyscy wrogowie widz¹, i¿ twoja armia sk³ada siê wy³¹cznie z najlepszych oddzia³ów, jakie aktualnie w niej posiadasz. Iloœæ jednostek w oddzia³ach ukazana jest jako zero.
"	"{Ukrycie - poziom mistrzowski}

Sprawia, ¿e wszyscy wrogowie widz¹, i¿ twoja armia sk³ada siê wy³¹cznie z najlepszych oddzia³ów, jakie mo¿e posiadaæ aktualny bohater. Iloœæ jednostek w oddzia³ach ukazana jest jako zero."	 ADV_SPELL
Aura artefaktów	Aura artefaktów	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Aura artefaktów}

Ujawnia miejsca na mapie, gdzie znajduj¹ siê artefakty.
"	"{Aura artefaktów - poziom podstawowy}

Ujawnia miejsca na mapie, gdzie znajduj¹ siê artefakty.
"	"{Aura artefaktów - poziom zaawansowany}

Ujawnia miejsca na mapie, gdzie znajduj¹ siê artefakty oraz wrodzy bohaterowie.
"	"{Aura artefaktów - poziom mistrzowski}

Ujawnia miejsca na mapie, gdzie znajduj¹ siê artefakty oraz wrodzy bohaterowie i ich miasta.
"	 ADV_SPELL
