	Description		
Name	Basic	Advanced	Expert
Znajd. drogi	"{Znajdowanie drogi - poziom podstawowy}

O 25% zmniejsza ograniczenie ruchu podczas poruszania siê po trudnym terenie."	"{Znajdowanie drogi - poziom zaawansowany}

O 50% zmniejsza ograniczenie ruchu podczas poruszania siê po trudnym terenie."	"{Znajdowanie drogi - poziom mistrzowski}

O 75% zmniejsza ograniczenie ruchu podczas poruszania siê po trudnym terenie."
£ucznictwo	"{£ucznictwo - poziom podstawowy}

O 10% zwiêksza obra¿enia zadawane przez jednostki atakuj¹ce na odleg³oœæ. "	"{£ucznictwo - poziom zaawansowany}

O 25% zwiêksza obra¿enia zadawane przez jednostki atakuj¹ce na odleg³oœæ."	"{£ucznictwo - poziom mistrzowski}

O 50% zwiêksza obra¿enia zadawane przez jednostki atakuj¹ce na odleg³oœæ."
Logistyka	"{Logistyka - poziom podstawowy}

Powiêksza iloœæ punktów ruchu bohatera o 10%."	"{Logistyka - poziom zaawansowany}

Powiêksza iloœæ punktów ruchu bohatera o 20%."	"{Logistyka - poziom mistrzowski}

Powiêksza iloœæ punktów ruchu bohatera o 30%."
Odkrywanie	"{Odkrywanie - poziom podstawowy}

Zwiêksza pole widzenia bohatera o 1."	"{Odkrywanie - poziom zaawansowany}

Zwiêksza pole widzenia bohatera o 2."	"{Odkrywanie - poziom mistrzowski}

Zwiêksza pole widzenia bohatera o 3."
Dyplomacja	"{Dyplomacja - poziom podstawowy}

Pozwala negocjowaæ ze s³abszymi oddzia³ami wroga ich przy³¹czenie siê do armii bohatera oraz zmniejsza koszty poddania siê o 20%."	"{Dyplomacja - poziom zaawansowany}

Pozwala negocjowaæ ze s³abszymi oddzia³ami wroga ich przy³¹czenie siê do armii bohatera oraz zmniejsza koszty poddania siê o 40%."	"{Dyplomacja - poziom mistrzowski}

Pozwala negocjowaæ ze s³abszymi oddzia³ami wroga ich przy³¹czenie siê do armii bohatera oraz zmniejsza koszty poddania siê o 60%."
Nawigacja	"{Nawigacja - poziom podstawowy}

Zwiêksza zasiêg okrêtu bohatera o 50%."	"{Nawigacja - poziom zaawansowany}

Zwiêksza zasiêg okrêtu bohatera o 100%."	"{Nawigacja - poziom mistrzowski}

Zwiêksza zasiêg okrêtu bohatera o 150%."
Dowodzenie	"{Dowodzenie - poziom podstawowy}

Zwiêksza morale wszystkich oddzia³ów o 1."	"{Dowodzenie - poziom zaawansowany}

Zwiêksza morale wszystkich oddzia³ów o 2."	"{Dowodzenie - poziom mistrzowski}

Zwiêksza morale wszystkich oddzia³ów o 3."
M¹droœæ	"{M¹droœæ - poziom podstawowy}

Pozwala bohaterowi na zrozumienie i poznanie zaklêæ trzeciego poziomu."	"{M¹droœæ - poziom zaawansowany}

Pozwala bohaterowi na zrozumienie i poznanie zaklêæ czwartego poziomu."	"{M¹droœæ - poziom mistrzowski}

Pozwala bohaterowi na zrozumienie i poznanie zaklêæ pi¹tego poziomu."
Mistycyzm	"{Mistycyzm - poziom podstawowy}

Regeneruje 2 punkty many dziennie."	"{Mistycyzm - poziom zaawansowany}

Regeneruje 3 punkty many dziennie."	"{Mistycyzm - poziom mistrzowski}

Regeneruje 4 punkty many dziennie."
Szczêœcie	"{Szczêœcie - poziom podstawowy}

Zwiêksza szczêœcie bohatera o 1."	"{Szczêœcie - poziom zaawansowany}

Zwiêksza szczêœcie bohatera o 2."	"{Szczêœcie - poziom mistrzowski}

Zwiêksza szczêœcie bohatera o 3."
Balistyka	"{Balistyka - poziom podstawowy}

Pozwala bohaterowi przej¹æ sterowanie nad katapult¹."	"{Balistyka - poziom zaawansowany}

Pozwala bohaterowi przej¹æ sterowanie nad katapult¹ i wystrzeliæ dwa razy ze zwiêkszon¹ skutecznoœci¹."	"{Balistyka - poziom mistrzowski}

Pozwala bohaterowi przej¹æ sterowanie nad katapult¹ i wystrzeliæ dwa razy ze maksymaln¹ skutecznoœci¹."
Sokoli wzrok	"{Sokoli wzrok - poziom podstawowy}

Zwiêksza o 40% szansê, i¿ bohater nauczy siê podczas bitwy zaklêcia 1-szego lub 2-giego - poziomu."	"{Sokoli wzrok - poziom zaawansowany}

Zwiêksza o 50% szansê, i¿ bohater nauczy siê podczas bitwy zaklêcia 1-szego, 2-giego lub 3-ciego - poziomu."	"{Sokoli wzrok - poziom mistrzowski}

Zwiêksza o 60% szansê, i¿ bohater nauczy siê podczas bitwy zaklêcia 1-szego, 2-giego, 3-ciego lub 4-tego - poziomu."
Nekromancja	"{Nekromancja - poziom podstawowy}

Pozwala wskrzesiæ w postaci szkieletów 10% poleg³ych w walce stworzeñ."	"{Nekromancja - poziom zaawansowany}

Pozwala wskrzesiæ w postaci szkieletów 20% poleg³ych w walce stworzeñ."	"{Nekromancja - poziom mistrzowski}

Pozwala wskrzesiæ w postaci szkieletów 30% poleg³ych w walce stworzeñ."
Finanse	"{Finanse - poziom podstawowy}

Bohater dostarcza królestwu 125 z³otych monet dziennie."	"{Finanse - poziom zaawansowany}

Bohater dostarcza królestwu 250 z³otych monet dziennie."	"{Finanse - poziom mistrzowski}

Bohater dostarcza królestwu 500 z³otych monet dziennie."
Magia ognia	"{Magia ognia - poziom podstawowy}

Pozwala rzucaæ zaklêcia magii ognia po zmniejszonych kosztach (mana)."	"{Magia ognia - poziom zaawansowany}

Pozwala rzucaæ zaklêcia magii ognia po zmniejszonych kosztach (mana) i ze zwiêkszon¹ efektywnoœci¹."	"{Magia ognia - poziom mistrzowski}

Pozwala rzucaæ zaklêcia magii ognia po zmniejszonych kosztach (mana) i z maksymaln¹ efektywnoœci¹."
M. powietrza	"{Magia powietrza - poziom podstawowy}

Pozwala rzucaæ zaklêcia magii powietrza po zmniejszonych kosztach (mana)."	"{Magia powietrza - poziom zaawansowany}

Pozwala rzucaæ zaklêcia magii powietrza po zmniejszonych kosztach (mana) i ze zwiêkszon¹ efektywnoœci¹."	"{Magia powietrza - poziom mistrzowski}

Pozwala rzucaæ zaklêcia magii powietrza po zmniejszonych kosztach (mana) i z maksymaln¹ efektywnoœci¹."
Magia wody	"{Magia wody - poziom podstawowy}

Pozwala rzucaæ zaklêcia magii wody po zmniejszonych kosztach (mana)."	"{Magia wody - poziom zaawansowany}

Pozwala rzucaæ zaklêcia magii wody po zmniejszonych kosztach (mana) i ze zwiêkszon¹ efektywnoœci¹."	"{Magia wody - poziom mistrzowski}

Pozwala rzucaæ zaklêcia magii wody po zmniejszonych kosztach (mana) i z maksymaln¹ efektywnoœci¹."
Magia ziemi	"{Magia ziemi - poziom podstawowy}

Pozwala rzucaæ zaklêcia magii ziemi po zmniejszonych kosztach (mana)."	"{Magia ziemi - poziom zaawansowany}

Pozwala rzucaæ zaklêcia magii ziemi po zmniejszonych kosztach (mana) i ze zwiêkszon¹ efektywnoœci¹."	"{Magia ziemi - poziom mistrzowski}

Pozwala rzucaæ zaklêcia magii ziemi po zmniejszonych kosztach (mana) i z maksymaln¹ efektywnoœci¹."
