Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
Pikinier	Pikinierzy	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50	Odpornoœæ na szar¿ê Czempionów.	0
Halabardnik	Halabardnicy	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30	Odpornoœæ na szar¿ê Czempionów.	0
£ucznik	£ucznicy	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY
Kusznik	Kusznicy	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Strzela dwukrotnie.	const_two_attacks | SHOOTING_ARMY
Gryf	Gryfy	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	Dwukrotnie kontratakuje.	DOUBLE_WIDE | FLYING_ARMY
Gryf królewski	Gryfy królewskie	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Zawsze kontratakuje.	DOUBLE_WIDE|FLYING_ARMY
Zbrojny	Zbrojni	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Krzy¿owiec	Krzy¿owcy	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Atakuje dwukrotnie.	const_two_attacks
Mnich	Mnisi	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY
Kap³an	Kap³ani	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Brak ograniczeñ w walce wrêcz.	SHOOTING_ARMY | const_no_melee_penalty
Kawalerzysta	Kawalerzyœci	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	Premia podczas walki.	DOUBLE_WIDE | const_jousting
Czempion	Czempioni	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	Premia podczas walki.	DOUBLE_WIDE | const_jousting
Anio³	Anio³y	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	Nienawidzi diab³ów.	FLYING_ARMY | const_raises_morale | KING_2
Archanio³	Archanio³y	0	0	0	0	0	3	5000	6033	8776	1	0	250	18	30	30	50	50	0	1	3	8	 +1 do morale. Nienawidzi diab³ów. Wskrzesza.	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2
																								
																								
																								
Centaur	Centaury	0	0	0	0	0	0	70	100	100	14	0	8	6	5	3	2	3	12	0	20	50		DOUBLE_WIDE
Centaur bojowy	Centaury bojowe	0	0	0	0	0	0	90	115	138	14	0	10	8	6	3	2	3	12	0	20	30		DOUBLE_WIDE
Krasnolud	Krasnoludy	0	0	0	0	0	0	120	194	138	8	4	20	3	6	7	2	4	0	0	16	30	20% odpornoœci na magiê.	0
Krasnoludzki  wojownik	Krasnoludzcy wojownicy	0	0	0	0	0	0	150	209	209	8	4	20	5	7	7	2	4	0	0	16	25	40% odpornoœci na magiê.	0
Leœny elf	Leœne elfy	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY
Wysoki elf	Wysokie elfy	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	Strzela dwukrotnie.	SHOOTING_ARMY | const_two_attacks
Pegaz	Pegazy	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	Odpornoœæ na magiê.	DOUBLE_WIDE | FLYING_ARMY
Srebrny pegaz	Srebrne pegazy	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	Odpornoœæ na magiê.	DOUBLE_WIDE | FLYING_ARMY
Drzewiec	Drzewce	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	Parali¿uje wrogów.	0
Ent	Enty	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	Parali¿uje wrogów	0
Jednoro¿ec	Jednoro¿ce	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	Aura antymagiczna.  Oœlepia wrogów.	DOUBLE_WIDE
Jednoro¿ec bitewny	Jednoro¿ce bitewne	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Aura antymagiczna.  Oœlepia wrogów.	DOUBLE_WIDE
