------------------------------
--Starting spells for heroes-- 
--        File format:      --
--      HERO_ID SPELL_ID    --
------------------------------
----- Death Knights
67 15
70 15
71 27
69 15
66 54
64 53
68 15
65 46
----- Necromancers
73 23
79 30
75 27
74 54
72 24
76 39
78 42
77 46
----- Battle Mages
106 46
104 43
109 54
110 30
111 43
107 53
105 15
108 44
----- Druids
31 30
30 16
25 37
24 55
26 42
27 0
28 15
29 51
----- Alchemists
37 53
39 15
35 27
32 27
34 53
38 15
33 15
36 15
----- Wizards
47 42
40 60
46 53
43 51
41 46
42 35
45 19
44 27
----- Witches
126 35
124 46
120 45
121 15
125 27
127 46
123 31
122 54
----- Clerics
9 41
10 45
15 37
11 20
12 42
14 48
8 46
13 35
----- Warlocks
88 38
95 46
93 23
92 54
89 27
91 38
90 43
94 30
----- Heretics
61 43
58 30
56 3
60 53
59 45
57 22
63 21
62 46
----- Elementalists
136 13
137 53
138 15
139 46
140 43
141 47
142 35
143 54
----- The End;)
