BATTLE OBSTACLES
[id] [Def name] [blockmap] [allowed terrins] [two numbers: shift of obstacle's position in the battlefield <x shift, y shift>, eg. if it's <-1, 2> obstacle will be printed one pixel to the left and two to the bottom]
{terrains: 1. sand/shore   2. sand/mesas   3. dirt/birches   4. dirt/hills   5. dirt/pines   6. grass/hills   
7. grass/pines   8. lava   9. magic plains   10. snow/mountains   11. snow/trees   12. subterranean   13. swamp/trees  
 14. fiery fields   15. rock lands   16. magic clouds   17. lucid pools   18. holy ground   19. clover field  
  20. evil fog   21. "favourable winds" text on magic plains background   22. cursed ground   23. rough 
    24. ship to ship   25. ship}
{blockmap: X - blocked, N - not blocked, L - description goes to the next line, staring with the left bottom hex }
5	OBBDT01.DEF	LNXXX			1111110000000000000000100	-8	0
56	OBBHS02.DEF	XXLNX			1100000000000000000000100	-8	0
57	OBBHS03.DEF	LXXX			1111100000000000000000100	-8	0
91	OBBHS04.DEF	XXLNXX			1100000000000000000000000	-40	-20
58	OBBHS11A.DEF	XXXLNXXX		1100000000000000000000000	-8	0
59	OBBHS12B.DEF	NXXLNXX			1100000000000000000000000	-8	0
60	OBBHS14B.DEF	NXLNXX			1111100000000000000000100	36	0
92	OBBHS16A.DEF	XLNXX			1100000000000000000000000	-8	-28
55	OBBTS04.DEF	XLXX			0000000000000000000000011	-30	-1
71	OBCFS00.DEF	X			0000000000000000001000000	14	0
72	OBCFS01.DEF	XX			0000000000000000001000000	14	0
73	OBCFS02.DEF	XXLNXX			0000000000000000001000000	-8	0
74	OBCFS03.DEF	NXXLNXX			0000000000000000001000000	-8	0
0	OBDINO1.DEF	XX			1111110000000000000000100	14	0
2	OBDINO2.DEF	LXXX			1111110000000000000000100	-8	0
1	OBDINO3.DEF	XXXLXX			1111110000000000000000100	-8	0
6	OBDRK01.DEF	XX			1111110000000000000000100	-8	0
7	OBDRK02.DEF	LXX			1111110000000000000000100	-8	0
8	OBDRK03.DEF	X			1111110000000000000000100	-8	-8
9	OBDRK04.DEF	LXX			1111110000000000000000100	-8	0
10	OBDSH01.DEF	LXX			1111110000000000000000100	-8	0
93	OBDSM01.DEF	NNXXXLNNXXXLNNXX	1100000000000000000000000	36	0
17	OBDSM02.DEF	XXLNX			1111100000000000000000100	-9	-2
18	OBDSS17.DEF	XXLNXXX			1111100000000000000000100	-8	0
11	OBDTF03.DEF	XX			1111100000000000000001100	14	0
12	OBDTS03.DEF	LLNXXXX			1111100000000000000001100	14	0
13	OBDTS04.DEF	LNXX			1111100000000000000001100	-8	0
14	OBDTS14.DEF	XXLNNX			1111100000000000000001100	-8	0
15	OBDTS15.DEF	XLXLNX			1111100000000000000001100	-30	0
66	OBEFS00.DEF	X			0000000000000000000100000	14	0
67	OBEFS01.DEF	XX			0000000000000000000100000	14	0
68	OBEFS02.DEF	NXLXXX			0000000000000000000100000	-8	0
69	OBEFS03.DEF	LNXX			0000000000000000000100000	0	0
70	OBEFS04.DEF	NNXXXLNXXX		0000000000000000000100000	-8	0
79	OBFFS00.DEF	X			0000000000000100000000000	14	0
80	OBFFS01.DEF	XX			0000000000000100000000000	14	0
81	OBFFS02.DEF	NXLXXX			0000000000000100000000000	-8	0
82	OBFFS03.DEF	XXLNXXX			0000000000000100000000000	-8	0
83	OBFFS04.DEF	XXXLXXXX		0000000000000100000000000	-8	-42
19	OBGLG01.DEF	XX			0000000000001000000000000	-8	0
94	OBGRK01.DEF	XX			0000000000001000000000000	14	-42
23	OBGRK02.DEF	XX			0000000000001000000000000	14	0
20	OBGRS02.DEF	NXX			0000000000001000000000000	14	0
22	OBGRS01.DEF	XXXXLNXXXX		0000011010001000000000000	-8	0
35	OBGRS03.DEF	XXXXXXX			1111111010000000000000100	0	0
21	OBGST01.DEF	X			1111111010000000000000100	14	0
61	OBHGS00.DEF	X			0000000000000000010000000	14	0
62	OBHGS01.DEF	XX			0000000000000000010000000	14	0
63	OBHGS02.DEF	X			0000000000000000010000000	-30	-84
64	OBHGS03.DEF	XXX			0000000000000000010000000	14	-42
65	OBHGS04.DEF	XXXX			0000000000000000010000000	14	-84
75	OBLPS00.DEF	X			0000000000000000100000000	14	0
76	OBLPS01.DEF	XX			0000000000000000100000000	14	0
77	OBLPS02.DEF	NXXLNX			0000000000000000100000000	36	0
78	OBLPS03.DEF	XXXXLNXXXX		0000000000000000100000000	-8	0
48	OBLVS01.DEF	XXLNNX			0000000100000000000000000	-8	0
49	OBLVS02.DEF	XXXLXXX			0000000100000000000000000	-8	0
50	OBLVS03.DEF	XXXXLNXXX		0000000100000000000000000	-30	0
51	OBLVS04.DEF	XXX			0000000100000000000000000	14	-42
52	OBLVS09.DEF	XXLNXXLNNXX		0000000100000000000000000	-8	0
53	OBLVS17.DEF	NNXLXXXX		0000000100000000000000000	-30	0
54	OBLVS22.DEF	XXXLXXXX		0000000100000000000000000	-30	0
88	OBMCS00.DEF	X			0000000000000001000000000	14	0
