Hero ID	Bonus Type	Val	Subtype	Additional Info
0	2	1	0	5
1	1	2	0	0
2	1	4	0	0
3	2	5	1	2
4	2	13	0	5
5	1	6	0	0
6	1	146	0	0
7	1	10	0	0
8	2	27	0	5
9	6	41	0	3
10	8	45	0	0
11	3	20	0	3
12	1	8	0	0
13	2	11	0	5
14	8	48	0	0
15	10	350	6	0
16	2	23	0	5
17	1	16	0	0
18	10	350	6	0
19	1	22	0	0
20	2	26	0	5
21	1	18	0	0
22	1	24	0	0
23	2	2	0	5
24	8	55	1	0
25	3	37	0	3
26	2	24	0	5
27	2	27	0	5
28	2	11	0	5
29	7	51	0	0
30	3	16	0	3
31	1	20	0	0
32	1	30	0	0
33	1	36	0	0
34	1	32	0	0
35	2	23	0	5
36	1	146	0	0
37	1	38	0	0
38	10	1	1	0
39	1	36	0	0
40	3	60	0	3
41	2	8	1	5
42	2	11	0	5
43	7	51	0	0
44	1	34	0	0
45	3	19	0	3
46	8	53	0	0
47	10	350	6	0
48	1	46	0	0
49	1	52	0	0
50	1	48	0	0
51	1	42	0	0
52	10	350	6	0
53	1	42	0	0
54	1	146	0	0
55	1	50	0	0
56	2	24	0	5
57	3	22	0	3
58	2	8	1	5
59	8	45	0	0
60	10	1	3	0
61	8	43	0	0
62	2	25	0	5
63	3	21	0	3
64	1	58	0	0
65	1	62	0	0
66	1	64	0	0
67	1	60	0	0
68	1	66	0	0
69	2	12	0	5
70	10	350	6	0
71	1	56	0	0
72	3	24	0	3
73	3	23	0	3
74	2	25	0	5
75	2	11	1	5
76	3	39	0	3
77	8	46	0	0
78	2	12	0	5
79	10	350	6	0
80	1	72	0	0
81	1	146	0	0
82	1	78	0	0
83	1	74	0	0
84	10	350	6	0
85	2	2	0	5
86	1	80	0	0
87	1	70	0	0
88	3	38	0	3
89	2	8	1	5
90	2	25	0	5
91	3	38	0	3
92	2	11	1	5
93	3	23	0	3
94	10	1	4	0
95	8	46	0	0
96	1	94	0	0
97	1	146	0	0
98	1	88	0	0
99	1	92	0	0
101	1	84	0	0
102	1	90	0	0
103	2	22	0	5
104	1	86	0	0
105	2	25	0	5
106	1	90	0	0
107	2	2	0	5
108	8	53	0	0
109	8	44	0	0
110	2	25	0	5
111	2	11	1	5
112	10	1	5	0
113	1	106	0	0
114	1	98	0	0
115	1	100	0	0
116	2	23	0	5
117	1	102	0	0
118	1	104	0	0
119	1	146	0	0
120	1	108	0	0
121	2	8	1	5
122	2	5	1	2
123	2	27	0	5
124	8	46	0	0
125	2	25	0	5
126	2	24	0	5
127	2	11	1	5
128	4	120	1	3
128	4	120	2	3
129	4	113	1	2
129	4	113	1	1
129	4	113	4	5
130	4	114	1	1
130	4	114	1	2
130	4	114	3	2
131	4	115	1	2
132	4	120	1	3
132	4	120	2	3
133	4	113	1	2
133	4	113	1	1
133	4	113	4	5
134	4	114	1	1
134	4	114	1	2
134	4	114	3	2
135	4	115	1	2
136	5	13	0	100
137	8	53	0	0
138	5	15	0	50
139	8	46	0	0
140	8	43	0	0
141	8	47	0	0
142	10	350	6	0
143	10	350	6	0
144	12	2	0	0
145	11	14	0	0
146	1	4	0	0
147	9	8	0	136
147	9	34	0	136
148	9	2	0	137
148	9	18	0	137
149	4	96	1	5
149	4	96	2	5
149	4	96	3	10
150	4	66	1	5
150	4	66	2	5
150	4	66	3	10
151	13	1	1	5
151	13	1	2	5
152	1	4	0	0
153	13	1	1	5
153	13	1	1	5
154	1	90	0	0
155	4	54	1	4
155	4	54	2	2
155	4	54	5	1
